Origin,Destination,Mode,Distance,Weight,Cost,Delay_Hours
Miami,Houston,Air,1930,1047,3158.02,0.04
Chicago,Boston,Air,279,4537,959.4,0.03
Houston,Atlanta,Air,370,107,552.77,0.01
New York,Chicago,Air,1567,2738,2395.99,0.16
Atlanta,Miami,Road,1175,2128,941.33,5.45
Boston,Houston,Road,2692,1459,1544.96,7.14
New York,Atlanta,Sea,2463,1265,354.47,17.79
Boston,Chicago,Rail,952,1501,484.18,0.44
Chicago,Houston,Sea,2902,390,392.06,6.66
Houston,Seattle,Road,2373,4595,1672.05,4.06
New York,Houston,Sea,2891,4450,667.52,12.92
Atlanta,Los Angeles,Air,1027,2921,1651.28,0.11
Los Angeles,Houston,Air,1277,1145,2434.85,0.16
Miami,New York,Air,1006,431,1427.44,0.11
Boston,New York,Air,991,2830,2024.02,0.1
Los Angeles,Atlanta,Air,360,566,688.71,0.01
Miami,Chicago,Rail,2446,3354,975.34,1.19
Los Angeles,Houston,Air,2488,1425,3596.8,0.21
Chicago,Miami,Air,2342,1501,3800.94,0.1
Houston,New York,Air,2422,2065,3717.33,0.09
Miami,Seattle,Road,2598,2439,1504.03,5.76
Miami,Atlanta,Air,2664,1246,4498.42,0.33
New York,Seattle,Rail,983,801,420.52,0.65
New York,Boston,Road,2808,80,1505.18,5.7
Houston,Los Angeles,Sea,2554,152,259.44,4.25
Miami,Atlanta,Air,2628,2818,4459.97,0.14
Boston,Los Angeles,Sea,2978,1396,474.24,5.43
Los Angeles,New York,Air,820,575,1407.04,0.03
Atlanta,Miami,Sea,1074,4979,725.99,7.27
Chicago,Miami,Road,984,4989,964.02,3.52
Boston,Atlanta,Road,617,779,404.57,1.68
Houston,Miami,Air,1553,3951,3078.67,0.19
Atlanta,New York,Air,1542,277,2681.93,0.18
Miami,Seattle,Air,217,4321,840.35,0.02
Seattle,Atlanta,Air,1438,808,2240.8,0.14
Atlanta,Los Angeles,Rail,633,726,273.96,0.36
New York,Los Angeles,Road,2435,4031,1789.34,9.79
Boston,Miami,Air,1259,4986,2155.17,0.05
Miami,Boston,Sea,2547,2711,475.94,32.15
Houston,Miami,Rail,2009,2298,883.33,4.09
Los Angeles,Boston,Rail,2103,754,697.87,2.65
Miami,Los Angeles,Road,2271,1127,1148.84,1.9
Chicago,Miami,Rail,1671,2627,708.51,1.79
Boston,Los Angeles,Rail,1778,3631,842.22,2.47
Houston,Atlanta,Road,2687,495,1575.46,8.2
Seattle,Chicago,Sea,486,1514,212.36,3.0
Seattle,Atlanta,Road,2014,422,1190.57,5.39
Boston,Seattle,Road,800,2186,623.31,2.69
Chicago,New York,Rail,2287,4979,1388.83,0.09
Miami,Atlanta,Sea,574,4240,507.77,1.6
Miami,New York,Sea,956,498,152.21,7.99
Seattle,Miami,Road,890,1972,711.12,2.87
Houston,Miami,Road,2485,384,1497.65,6.28
Houston,Miami,Rail,449,447,173.31,0.85
Los Angeles,Chicago,Rail,1788,3138,787.56,2.66
Boston,Los Angeles,Road,1436,1714,994.62,3.26
Atlanta,Miami,Sea,1821,2732,427.69,16.34
Miami,Los Angeles,Sea,1453,1798,375.22,0.15
Seattle,Boston,Air,2034,1758,3765.63,0.05
New York,Houston,Air,2463,1337,3872.58,0.05
Atlanta,New York,Sea,1441,2959,482.24,10.24
Los Angeles,Houston,Sea,2619,4351,656.22,1.08
Atlanta,Miami,Air,2590,2381,4886.36,0.11
Boston,Seattle,Road,2488,2082,1485.89,2.67
Seattle,Miami,Road,2553,1414,1347.34,7.82
Seattle,Atlanta,Road,1727,3104,1270.77,4.56
Atlanta,Boston,Air,946,4946,2156.91,0.11
Miami,Boston,Road,396,4148,670.77,0.91
Atlanta,Chicago,Road,883,967,511.57,3.98
Boston,Atlanta,Air,1247,846,2220.64,0.02
Boston,Los Angeles,Road,1887,285,1104.45,3.56
Chicago,Miami,Air,312,399,484.19,0.01
Houston,Atlanta,Road,1443,3041,991.09,0.31
Miami,Houston,Road,833,672,492.03,3.57
Houston,Miami,Sea,1330,2740,469.17,1.61
Houston,Seattle,Sea,865,650,151.91,3.34
New York,Miami,Air,2223,2247,3507.74,0.15
Boston,Miami,Road,2610,4770,1780.27,6.2
Boston,Chicago,Rail,2876,2338,1297.34,3.98
Miami,Los Angeles,Air,843,699,1356.46,0.02
Boston,Houston,Rail,1119,2881,656.6,1.72
Los Angeles,Chicago,Air,1064,1419,1662.01,0.11
Atlanta,Houston,Sea,1580,2080,363.74,21.02
New York,Houston,Sea,2361,3027,533.36,11.24
Los Angeles,Houston,Air,1519,2029,2460.39,0.07
Chicago,Atlanta,Road,2531,3558,1728.61,10.4
Boston,Miami,Air,899,2416,1515.93,0.03
New York,Atlanta,Rail,2415,1109,965.23,3.86
New York,Atlanta,Rail,2175,494,720.55,2.45
Boston,Chicago,Rail,2135,2363,925.46,3.86
Boston,Los Angeles,Air,1857,4396,3583.17,0.03
Chicago,Boston,Rail,1954,3093,832.21,2.01
Boston,Atlanta,Road,303,1127,267.66,0.58
Chicago,Houston,Air,1388,4169,2997.15,0.16
New York,Seattle,Road,1217,528,791.97,1.58
Chicago,Atlanta,Road,1166,2312,876.6,1.89
Atlanta,Miami,Road,2046,1229,1128.94,7.25
New York,Houston,Rail,2477,1467,809.87,1.08
New York,Chicago,Sea,1791,2482,441.06,8.1
Boston,Atlanta,Road,1499,3158,1179.44,1.95
Los Angeles,Houston,Air,2847,1660,4383.17,0.08
New York,Los Angeles,Rail,979,4254,787.56,1.5
Chicago,New York,Road,1176,3544,935.45,5.56
New York,Boston,Rail,974,4044,704.25,0.71
Atlanta,Los Angeles,Road,2640,3616,1921.03,7.59
Atlanta,Los Angeles,Rail,1425,289,517.98,3.2
New York,Miami,Air,1857,716,3027.38,0.1
Boston,Los Angeles,Rail,2860,2000,1235.17,5.98
Atlanta,Seattle,Rail,2386,405,812.38,1.7
Miami,Boston,Rail,2041,2057,893.95,4.06
Miami,Seattle,Rail,1175,1117,420.98,1.32
Atlanta,New York,Sea,1359,429,163.57,15.9
Houston,Chicago,Road,1591,4212,1104.27,7.02
New York,Chicago,Sea,2973,2778,576.22,27.22
Seattle,Houston,Sea,559,138,80.0,5.38
New York,Chicago,Rail,2419,2348,897.51,3.03
Houston,Atlanta,Air,2726,1410,4678.83,0.06
Los Angeles,New York,Air,1236,713,2090.14,0.1
Chicago,Atlanta,Sea,1371,634,193.63,7.09
Los Angeles,Houston,Road,336,784,259.37,1.28
Atlanta,Houston,Sea,1827,1084,343.57,19.28
Miami,New York,Road,593,4325,715.42,0.6
Chicago,Los Angeles,Road,1756,2532,1255.49,3.46
Atlanta,Chicago,Road,224,2594,418.04,0.38
New York,Los Angeles,Rail,1370,3214,847.88,2.19
Atlanta,Seattle,Road,1234,540,713.73,2.46
Houston,Boston,Rail,2686,1621,888.27,2.24
Boston,Los Angeles,Road,812,420,455.61,3.95
Seattle,Miami,Sea,1808,159,234.26,5.62
Los Angeles,Houston,Road,2446,2181,1619.04,9.3
Los Angeles,Chicago,Sea,217,2241,237.51,2.28
Los Angeles,Houston,Road,226,2984,442.21,0.09
Boston,Los Angeles,Air,454,213,750.28,0.01
Boston,Seattle,Sea,2236,4869,828.36,12.6
Boston,Houston,Sea,974,1234,202.36,4.46
Seattle,Los Angeles,Road,2840,3781,1977.28,3.15
Boston,Atlanta,Road,1653,4659,1429.57,7.96
Los Angeles,Houston,Road,1898,1900,1133.13,2.99
Chicago,Boston,Sea,2522,756,355.33,6.53
Boston,Los Angeles,Air,910,2170,1802.41,0.06
Los Angeles,New York,Road,509,1117,407.7,0.63
Miami,Houston,Sea,2458,1066,322.1,28.51
Seattle,Houston,Sea,2582,3677,631.64,21.58
Houston,Seattle,Rail,682,4675,686.72,1.37
New York,Atlanta,Air,2282,3529,4245.4,0.07
Boston,Chicago,Sea,509,4416,497.39,0.86
Miami,Los Angeles,Road,2791,4572,1731.66,4.86
New York,Seattle,Sea,1128,1090,259.27,1.57
Houston,Miami,Road,939,4521,1079.29,2.27
Boston,Miami,Road,1346,3683,1178.2,5.4
Houston,Atlanta,Sea,1689,4359,668.34,3.66
New York,Seattle,Rail,1661,4306,1067.35,3.96
Chicago,Los Angeles,Road,2764,2582,1597.01,13.17
Atlanta,Boston,Sea,1809,4634,591.66,7.79
Seattle,Atlanta,Rail,2950,3935,1178.24,4.17
Houston,Los Angeles,Rail,1011,301,352.38,1.93
Boston,Los Angeles,Road,1679,328,883.81,4.95
Chicago,Seattle,Air,2333,3762,3632.56,0.2
Miami,Houston,Road,1756,18,912.74,7.6
Boston,New York,Road,1121,2952,1008.91,4.72
New York,Chicago,Road,2232,431,1254.46,0.69
Boston,Seattle,Road,609,3107,558.72,0.61
New York,Chicago,Sea,2533,2459,491.75,11.4
Chicago,Houston,Rail,671,2501,500.37,0.44
Los Angeles,Boston,Sea,1228,2859,368.82,11.87
Boston,Houston,Air,983,2055,1851.66,0.01
Houston,Chicago,Sea,2106,4015,688.66,14.94
New York,Houston,Road,831,3001,731.72,3.9
Miami,Seattle,Sea,2399,4720,848.72,1.11
Miami,New York,Road,558,2737,598.54,1.7
Seattle,Los Angeles,Air,672,4057,1286.38,0.05
New York,Chicago,Road,2690,497,1330.52,9.08
Chicago,Boston,Sea,1645,686,245.82,13.15
New York,Houston,Air,2777,1849,5182.67,0.12
Atlanta,New York,Sea,638,1762,220.37,0.2
Seattle,Atlanta,Road,1721,4547,1407.36,2.08
Chicago,Seattle,Sea,1562,2198,341.71,13.58
Atlanta,Chicago,Sea,2965,1566,468.47,16.67
Atlanta,New York,Rail,2421,2424,948.0,6.0
Chicago,Boston,Rail,2734,1174,1123.77,2.8
Los Angeles,Chicago,Sea,2497,3632,715.22,24.5
Miami,New York,Air,1053,1363,1568.59,0.08
Atlanta,Houston,Sea,2088,3395,591.77,24.57
Houston,Boston,Road,288,1639,361.12,0.81
Atlanta,Miami,Road,2201,882,1255.94,3.64
Miami,New York,Sea,2185,4923,694.03,11.55
New York,Miami,Sea,2132,2093,487.48,17.68
Seattle,New York,Road,2356,402,1367.64,2.62
Atlanta,New York,Rail,2807,4756,1209.96,6.0
Atlanta,Seattle,Sea,1246,572,165.89,5.21
Boston,Chicago,Sea,1457,1306,309.49,15.69
Los Angeles,New York,Road,1706,3376,1319.15,8.12
Chicago,Boston,Air,2822,3438,5289.99,0.16
Los Angeles,Atlanta,Rail,847,429,287.24,0.24
Chicago,Boston,Rail,2210,4661,1189.62,2.47
Seattle,Los Angeles,Road,271,4753,551.12,0.47
New York,Chicago,Sea,2872,554,347.02,28.44
Chicago,Boston,Air,1707,2270,2780.45,0.03
Los Angeles,Houston,Rail,401,4542,684.93,0.11
Chicago,Houston,Sea,2827,1146,441.75,35.87
Boston,Los Angeles,Road,2313,4792,1855.82,8.02
Seattle,New York,Air,324,2674,724.32,0.03
Boston,Houston,Sea,1238,3638,441.64,8.25
Miami,Los Angeles,Rail,1695,1066,565.47,1.82
Los Angeles,Miami,Road,579,2199,486.47,0.5
Los Angeles,Seattle,Air,1854,1755,3487.15,0.01
Chicago,Houston,Air,1822,4833,3480.81,0.07
Chicago,Miami,Rail,1949,693,591.7,0.02
Houston,Boston,Road,2619,778,1638.81,7.27
Atlanta,Miami,Road,1691,4437,1238.32,1.49
Houston,New York,Road,1435,3912,1128.76,3.19
Seattle,Miami,Road,650,3974,702.4,1.7
Seattle,Chicago,Road,1826,351,869.95,4.04
Boston,Miami,Road,1554,1037,964.7,7.34
Boston,Los Angeles,Sea,1197,1316,294.69,10.94
Atlanta,New York,Air,2616,762,4133.06,0.0
Boston,Miami,Air,337,4584,932.98,0.0
Chicago,Miami,Sea,1446,2134,337.56,2.98
Miami,Boston,Road,294,4899,723.8,0.25
New York,Miami,Sea,587,3153,443.63,0.53
Miami,Boston,Rail,2498,793,976.84,0.29
Seattle,Boston,Air,2948,3994,5071.58,0.34
Los Angeles,Miami,Sea,2607,1130,376.64,21.05
Chicago,New York,Sea,822,735,181.22,6.68
Los Angeles,Boston,Rail,2689,2078,1107.01,6.4
Chicago,Boston,Air,374,186,526.76,0.03
Chicago,Houston,Rail,2798,4709,1216.98,3.88
Boston,Seattle,Air,2556,3456,4003.34,0.05
Atlanta,Chicago,Air,863,3136,1579.25,0.02
Los Angeles,Boston,Rail,1130,3693,775.63,2.71
Boston,Los Angeles,Sea,895,941,173.15,1.32
New York,Seattle,Rail,949,2616,615.88,0.21
Seattle,Miami,Road,1482,701,731.38,5.97
Los Angeles,New York,Rail,1421,1145,598.11,1.84
Los Angeles,Atlanta,Sea,514,297,85.69,1.09
Seattle,Boston,Rail,1586,4942,1045.7,0.85
Houston,Seattle,Road,784,3206,796.9,0.3
Chicago,Seattle,Rail,2456,1195,912.61,2.96
Houston,Chicago,Air,1986,1693,3246.25,0.16
Boston,Miami,Sea,1205,125,139.28,0.2
Atlanta,New York,Road,1941,3583,1331.56,9.52
Miami,Chicago,Road,1845,4922,1425.36,2.83
Seattle,Boston,Rail,1658,2737,757.32,1.61
Boston,Seattle,Road,722,668,487.97,1.98
Boston,Seattle,Sea,310,2558,315.54,4.08
New York,Boston,Rail,2569,3173,1251.57,2.51
Miami,Atlanta,Rail,707,4779,719.9,0.91
Houston,Los Angeles,Rail,1381,1071,502.81,2.38
Atlanta,Seattle,Sea,1411,130,180.15,3.94
Chicago,New York,Sea,2035,2685,464.94,22.78
New York,Houston,Sea,921,1770,289.43,7.09
New York,Seattle,Road,2568,4015,1868.27,2.12
Chicago,Los Angeles,Road,2706,4266,1623.26,10.86
New York,Boston,Road,1486,1625,911.25,4.22
Chicago,Seattle,Sea,1608,2298,405.66,19.88
Los Angeles,Seattle,Rail,877,1054,384.68,1.36
Los Angeles,Seattle,Air,2815,3322,4536.8,0.35
Los Angeles,Atlanta,Rail,1833,2912,979.58,4.4
Chicago,Atlanta,Sea,1352,2293,384.75,14.25
Miami,Chicago,Air,2530,2752,4058.79,0.2
Miami,New York,Road,577,1045,356.14,0.43
Miami,Atlanta,Rail,783,1055,399.3,0.62
Atlanta,Miami,Road,1007,660,666.78,2.55
Houston,Chicago,Air,1569,1267,2822.53,0.18
Boston,New York,Rail,1408,4326,839.96,1.73
Seattle,Chicago,Sea,2026,878,312.46,13.8
Miami,Houston,Air,2820,4384,5408.61,0.0
Miami,Atlanta,Rail,680,323,248.46,1.12
Seattle,Houston,Rail,652,3726,593.34,0.67
Atlanta,New York,Sea,777,2447,303.31,1.11
Miami,Chicago,Rail,2869,740,953.96,1.1
Miami,New York,Rail,517,1372,270.0,0.15
Los Angeles,New York,Sea,2905,629,420.48,28.06
Houston,Boston,Rail,1036,460,358.02,1.31
Los Angeles,Miami,Rail,1457,2208,693.61,3.12
Houston,Boston,Sea,2446,2382,441.81,17.65
Atlanta,Boston,Air,2643,708,3673.17,0.32
Houston,Los Angeles,Air,2715,1050,3936.49,0.21
Miami,Boston,Road,1036,1777,790.62,3.0
Atlanta,Seattle,Rail,909,104,318.81,2.13
Atlanta,Houston,Air,1974,1512,3038.69,0.24
New York,Chicago,Air,537,1694,960.9,0.01
Seattle,Houston,Air,2822,2419,4340.47,0.24
Houston,New York,Rail,1892,4639,984.2,0.38
Miami,New York,Air,2825,1243,4639.75,0.12
Seattle,Boston,Road,743,3083,620.74,0.16
Boston,Atlanta,Rail,1794,1988,857.66,1.27
Atlanta,Houston,Air,2187,4692,3763.03,0.17
Atlanta,Seattle,Road,2851,1406,1537.74,6.33
Atlanta,Chicago,Air,679,1434,1322.57,0.07
New York,Miami,Sea,1367,2620,441.18,10.4
New York,Boston,Air,2532,2943,4235.41,0.11
Houston,Los Angeles,Rail,2910,3330,1305.96,5.97
Boston,New York,Sea,398,48,41.43,2.25
Chicago,Seattle,Rail,663,351,232.29,0.9
Los Angeles,Chicago,Rail,2018,3775,945.67,1.92
New York,Seattle,Air,486,2410,949.17,0.04
Seattle,Los Angeles,Sea,1664,4608,622.17,10.52
New York,Los Angeles,Air,1201,3931,2169.59,0.08
Miami,Atlanta,Sea,2480,2338,499.59,26.95
Los Angeles,Chicago,Rail,2231,3186,1157.19,1.12
Atlanta,Seattle,Air,481,2803,1185.22,0.06
Los Angeles,Boston,Sea,1769,4327,691.73,12.4
Los Angeles,Chicago,Rail,734,4045,597.92,0.23
New York,Atlanta,Sea,2735,2529,622.13,34.77
Seattle,Houston,Road,371,1240,343.35,0.5
Los Angeles,Houston,Road,2608,2691,1580.46,10.41
Miami,Atlanta,Road,1353,435,781.34,5.3
Boston,Los Angeles,Air,2286,1573,4024.55,0.1
New York,Chicago,Air,213,2824,621.1,0.02
Seattle,New York,Rail,1858,4179,900.83,4.63
Chicago,Houston,Rail,1406,3614,748.25,0.32
Chicago,Boston,Sea,2826,3833,760.04,28.07
Atlanta,New York,Road,1684,3687,1168.76,4.07
Houston,Boston,Air,1397,1845,2718.83,0.08
Miami,Houston,Sea,2451,735,356.3,11.02
Atlanta,New York,Sea,1910,3559,558.18,18.89
Miami,Atlanta,Road,2753,2783,1984.85,6.59
New York,Los Angeles,Sea,487,4481,592.1,2.71
Boston,Miami,Air,1193,2964,2245.65,0.08
Houston,New York,Air,1487,705,2734.24,0.16
Chicago,Atlanta,Rail,2863,715,1085.23,1.3
Atlanta,Boston,Road,1809,3215,1310.45,1.23
Atlanta,Chicago,Rail,2957,4646,1302.25,1.8
Miami,Seattle,Air,1111,1883,2088.54,0.05
Miami,Atlanta,Air,865,2862,1479.5,0.04
Houston,Atlanta,Road,1753,2101,1039.93,4.84
Boston,Atlanta,Rail,532,1149,272.94,0.06
Atlanta,New York,Road,1045,3000,802.11,1.98
Los Angeles,Chicago,Air,485,32,662.81,0.06
Seattle,New York,Rail,461,236,152.69,0.34
Houston,Los Angeles,Sea,1839,2951,489.68,21.03
New York,Seattle,Air,1143,2784,1888.36,0.12
Los Angeles,Chicago,Air,2019,267,3218.79,0.15
Seattle,Chicago,Air,1261,4513,2131.08,0.03
Miami,Seattle,Road,2182,1722,1223.92,2.94
New York,Miami,Sea,2092,2691,496.09,3.32
Houston,Los Angeles,Air,2360,3430,4111.12,0.27
Chicago,Seattle,Road,2323,1071,1189.04,0.12
Boston,Seattle,Road,271,2228,407.68,1.01
Houston,New York,Road,2667,2830,1616.0,6.2
Seattle,Atlanta,Road,415,679,306.06,1.9
Miami,Atlanta,Air,965,1275,1846.52,0.04
Atlanta,Chicago,Road,992,693,511.05,3.36
Los Angeles,Boston,Sea,572,460,96.23,7.26
Boston,New York,Road,1091,1113,740.19,0.63
Boston,Los Angeles,Air,2308,3504,4319.91,0.21
Chicago,Miami,Rail,2119,1803,954.32,2.57
Houston,Seattle,Road,2669,3105,1813.89,8.14
Houston,Los Angeles,Rail,1677,1163,591.45,2.11
Chicago,Miami,Road,619,3858,782.53,0.43
Seattle,Houston,Air,531,3603,1211.2,0.01
New York,Boston,Road,2073,3269,1242.28,5.12
New York,Chicago,Road,2943,823,1626.57,8.35
Chicago,Atlanta,Air,1646,269,2775.82,0.14
Houston,Atlanta,Air,1387,3052,2757.97,0.05
Seattle,Los Angeles,Road,363,2172,406.17,1.24
Seattle,Chicago,Road,1353,3582,1218.4,1.79
Boston,Chicago,Road,1769,4151,1403.74,1.08
Houston,Seattle,Air,2222,3096,3286.06,0.11
Seattle,Boston,Road,2616,915,1469.31,6.69
Los Angeles,Boston,Air,1081,3326,2170.71,0.09
Houston,Los Angeles,Road,1043,3051,811.83,3.99
Seattle,Chicago,Air,1846,1196,2706.85,0.18
Miami,Seattle,Air,749,1537,1503.48,0.06
Chicago,Houston,Rail,704,1716,375.38,1.54
Miami,Los Angeles,Road,374,4078,631.93,1.47
Los Angeles,Seattle,Road,1609,942,946.33,1.02
Seattle,Atlanta,Rail,1231,4747,856.66,0.15
Miami,New York,Road,639,448,409.35,2.37
New York,Houston,Sea,1405,2836,402.3,12.45
Los Angeles,Boston,Sea,1994,3531,543.63,2.73
Seattle,Chicago,Rail,2358,1284,774.84,2.62
Boston,Atlanta,Air,652,4099,1655.08,0.05
Atlanta,Boston,Road,1709,4446,1534.03,5.42
New York,Miami,Sea,1691,4213,681.9,2.79
Houston,Chicago,Road,2391,3208,1751.23,3.15
Los Angeles,Atlanta,Sea,2051,4372,725.04,7.7
Boston,Atlanta,Road,2248,1078,1428.13,0.07
Boston,Houston,Sea,289,2901,312.72,3.79
Atlanta,Los Angeles,Air,2491,954,3502.89,0.17
Atlanta,Miami,Road,1450,4908,1397.11,4.34
Boston,Los Angeles,Rail,660,4063,642.06,1.27
New York,Los Angeles,Air,2946,3811,5498.24,0.21
Los Angeles,Houston,Air,2234,3369,3545.2,0.26
Miami,New York,Rail,2500,4010,1195.9,0.28
Seattle,Miami,Road,2305,1628,1261.22,1.59
Chicago,Miami,Air,402,1016,774.42,0.01
Los Angeles,Seattle,Air,850,690,1516.26,0.1
Boston,Seattle,Road,2390,1820,1535.34,7.72
Chicago,Atlanta,Sea,1474,2826,515.87,9.0
Atlanta,Houston,Sea,1066,364,147.33,7.06
Los Angeles,Houston,Road,1146,3131,855.41,2.24
Chicago,Miami,Air,2528,3361,4932.86,0.2
Los Angeles,Atlanta,Air,1711,477,2593.22,0.04
Miami,Boston,Sea,2614,1628,476.77,7.25
Miami,Atlanta,Rail,1077,1901,589.52,1.64
Chicago,New York,Sea,1756,3422,531.12,17.3
